rank,title,hot,topic,sentiment,risk
1,梅西 踩小腿,1162466,体育竞技,中性,中
2,山姆首席采购官辞职,829986,其他,中性,中
3,一分钟学会北斗卫星短信自救,672020,其他,中性,低
4,拼豆第一批受害者出现了,669654,其他,中性,低
5,梅西疑似红牌动作,668916,体育竞技,中性,低
6,面试遇到豆包味很浓的应届生,664838,其他,中性,低
7,豆包DeepSeek答题两极分化,620618,其他,中性,低
8,SpaceX华裔女工程师辟谣,614871,其他,中性,低
9,昀牵孟绕系安全带,606962,其他,中性,低
10,白鹿跑男上班,604135,其他,中性,低
11,A股,583473,财经商业,中性,低
12,杨紫 把腿合上,546153,其他,中性,低
13,王楚然只能笑卢昱晓不敢笑,531193,其他,中性,低
14,第一个发明这么吃辣条的是天才,465757,其他,中性,低
15,向佐为热度和钱哄郭碧婷上综艺,459728,娱乐八卦,中性,低
16,薛之谦是梅西脑残粉,451424,体育竞技,中性,低
17,司机高速上睡了6次乘客录下全程,422172,其他,中性,低
18,黄百鸣入狱服刑,410076,其他,中性,低
19,浪7总决赛嘉宾,371064,其他,中性,低
20,迪士尼公主曝被游客性骚扰也要微笑,332821,其他,中性,低
21,曝霍启山和娜然要结婚了,331382,其他,中性,低
22,林俊杰女友七七举报网友,331007,其他,中性,低
23,梅西发微博,322531,体育竞技,中性,低
24,吴倩不承认自己是恋爱脑,322441,其他,中性,低
25,关晓彤也有拍戏垫板子的一天,321496,其他,中性,低
26,梅西帽子戏法,311058,体育竞技,中性,低
27,当专家说只睡四个小时没影响,293151,其他,中性,低
28,DRG对战TTG,276814,其他,中性,低
29,AI支付,266711,科技数码,中性,低
30,高市早苗在G7峰会转椅子被批没教养,260366,其他,中性,低
31,离婚和一个人带孩子都是吴倩自己选的,259676,娱乐八卦,中性,低
32,只有内马尔信了诸神黄昏,249142,其他,中性,低
33,花小钱办大事的端午礼盒,233322,其他,中性,低
34,小萌 离职,231771,其他,中性,低
35,被暑假工背刺了,228967,其他,中性,低
36,国台办回应台媒喊话迪丽热巴去台湾,220120,其他,中性,低
37,8家老牌车企永久退市,213637,其他,中性,低
38,李晟确认参加浪姐总决赛,196914,其他,中性,低
39,男子9克黄金置换半年后发现只剩2克,196688,其他,中性,低
40,炽夏 雷霆剧情,196487,其他,中性,低
41,特朗普敲打以色列,192293,其他,中性,低
42,女大学生坠亡35岁男友已婚有两孩,191960,其他,中性,低
43,被梅西踩小腿球员说梅西历史最佳,191308,体育竞技,中性,低
44,梅西承认本届世界杯是最后一届,167799,体育竞技,中性,低
45,奔跑吧路透,165527,其他,中性,低
46,寺庙保安31棍打死70岁老人被逮捕,163570,其他,中性,低
47,王菲窦靖童双提名,163288,其他,中性,低
48,傲娇美孕期染发被妈妈骂哭,156097,其他,中性,低
49,世界杯,155640,体育竞技,中性,低
50,马思纯 球衣天才,154652,其他,中性,低
