rank,title,hot,topic,broad_category,sentiment,risk
1,梅西 踩小腿,1176212,梅西/小腿,体育竞技,负面,高
2,山姆首席采购官辞职,871615,山姆/辞职,其他,正面,低
3,一分钟学会北斗卫星短信自救,871299,北斗/自救,其他,负面,高
4,拼豆第一批受害者出现了,871288,拼豆/受害者,其他,负面,高
5,梅西疑似红牌动作,871275,梅西/红牌,体育竞技,负面,高
6,面试遇到豆包味很浓的应届生,757847,应届生/豆包,其他,负面,高
7,SpaceX华裔女工程师辟谣,649556,SpaceX/辟谣,科技数码,负面,高
8,昀牵孟绕系安全带,590842,孟绕系/安全带,其他,负面,中
9,白鹿跑男上班,585355,白鹿/上班,其他,正面,低
10,第一个发明这么吃辣条的是天才,545292,吃辣条/天才,其他,正面,低
11,杨紫 把腿合上,544759,杨紫/合上,其他,负面,中
12,女大学生坠亡35岁男友已婚有两孩,542795,坠亡/35,安全事件,负面,中
13,王楚然只能笑卢昱晓不敢笑,542225,王楚然/卢昱晓,其他,负面,中
14,A股,540879,A股,财经商业,正面,低
15,向佐为热度和钱哄郭碧婷上综艺,538504,向佐为/郭碧婷,其他,负面,中
16,豆包DeepSeek答题两极分化,538203,DeepSeek/豆包,其他,负面,中
17,黄百鸣入狱服刑,437599,黄百鸣/服刑,其他,负面,中
18,关晓彤也有拍戏垫板子的一天,345763,关晓彤/拍戏,其他,正面,低
19,司机高速上睡了6次乘客录下全程,345665,全程/乘客,其他,负面,中
20,DRG对战TTG,343809,DRG/TTG,其他,负面,中
21,曝霍启山和娜然要结婚了,341245,霍启山/和娜然,其他,正面,低
22,迪士尼公主曝被游客性骚扰也要微笑,339456,性骚扰/迪士尼,其他,正面,低
23,林俊杰女友七七举报网友,339062,林俊杰/七七,其他,负面,中
24,吴倩不承认自己是恋爱脑,337272,吴倩/恋爱,其他,负面,中
25,梅西帽子戏法,335100,帽子戏法/梅西,体育竞技,正面,低
26,薛之谦是梅西脑残粉,333861,薛之谦是/梅西脑,体育竞技,负面,中
27,梅西发微博,332353,梅西发/微博,体育竞技,正面,低
28,只有内马尔信了诸神黄昏,329897,内马尔信/诸神,其他,负面,中
29,被暑假工背刺了,328813,工背/暑假,其他,负面,中
30,高市早苗在G7峰会转椅子被批没教养,326967,没教养/高市,其他,负面,中
31,小萌 离职,325128,小萌/离职,其他,负面,中
32,杨紫天鹅颈,323148,杨紫/天鹅,其他,正面,低
33,花小钱办大事的端午礼盒,322431,端午/礼盒,其他,正面,低
34,被梅西踩小腿球员说梅西历史最佳,320613,说梅西/梅西,体育竞技,负面,中
35,李晟确认参加浪姐总决赛,317814,李晟/浪姐,娱乐八卦,正面,低
36,国台办回应台媒喊话迪丽热巴去台湾,317470,台媒/迪丽,其他,负面,中
37,8家老牌车企永久退市,314389,车企/老牌,其他,负面,中
38,AI支付,313598,AI/支付,科技数码,正面,低
39,奔跑吧路透,311265,路透/奔跑,其他,正面,低
40,炽夏 雷霆剧情,310257,炽夏/雷霆,其他,正面,低
41,马思纯 球衣天才,309332,马思纯/球衣,其他,正面,低
42,特朗普敲打以色列,307343,特朗普/敲打,其他,正面,低
43,梅西承认本届世界杯是最后一届,305750,梅西/一届,体育竞技,负面,中
44,男童被石桌砸死爷爷仅离开3分钟,302890,石桌/男童,其他,负面,中
45,寺庙保安31棍打死70岁老人被逮捕,301366,31/70,其他,负面,中
46,离婚和一个人带孩子都是吴倩自己选的,299543,人带/吴倩,其他,负面,低
47,当专家说只睡四个小时没影响,298801,四个/小时,其他,负面,低
48,压力给到C罗,296668,压力,其他,负面,低
49,傲娇美孕期染发被妈妈骂哭,294951,娇美/染发,其他,负面,低
50,石凯曾甩了谈了多年的素人女友,293097,石凯/素人,其他,负面,低
